시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,전화번호,설치년도,설치목적,데이터기준일자,제공기관코드,제공기관명
감전2배수장,부산광역시,사상구,부산광역시 사상구 낙동대로 1142,,35.1643638800,128.9766202000,051-310-3272,1990,범람및침수방지,2024-08-13,3390000,부산광역시 사상구
감전3배수장,부산광역시,사상구,"부산광역시 사상구 낙동대로 952, 맞은편",,35.1453822,128.9701399,051-310-3276,2004,침수방지,2024-08-13,3390000,부산광역시 사상구
감전4배수장,부산광역시,사상구,부산광역시 사상구 낙동대로 1024 맞은편,,35.1319279,128.9696838,051-310-3276,2002,침수방지,2024-08-13,3390000,부산광역시 사상구
엄궁1배수장,부산광역시,사상구,부산광역시 사상구 강변대로532번길 71,,35.1304150000,128.9704477000,051-310-3284,1985,범람방지,2024-08-13,3390000,부산광역시 사상구
엄궁2배수장,부산광역시,사상구,부산광역시 사상구 강변대로532번길 71,,35.1304150000,128.9704477000,051-310-3284,1986,범람방지,2024-08-13,3390000,부산광역시 사상구
엄궁3배수장,부산광역시,사상구,부산광역시 사상구 강변대로532번길 71,,35.1304150000,128.9704477000,051-310-3286,1991,범람방지,2024-08-13,3390000,부산광역시 사상구
학장배수장,부산광역시,사상구,부산광역시 사상구 농산물시장로25번길 52-12,,35.1288357426,128.9671718397,051-310-3284,1988,배수관리,2024-08-13,3390000,부산광역시 사상구
죽청지구 배수펌프장,전라남도,화순군,,전라남도 화순군 도곡면 미곡리 411,35.01211067,126.9257608,061-379-3761,2011,재난대응용+침수방지용,2024-08-14,4900000,전라남도 화순군
벌고2지구 우수저류시설,전라남도,화순군,,전라남도 화순군 화순읍 삼천리 662-5,35.05640923,126.9808301,061-379-3802,2017,재난대응용+침수방지용,2024-08-14,4900000,전라남도 화순군
천암1지구 우수저류시설,전라남도,화순군,전라남도 화순군 화순읍 천암1길 51-5,전라남도 화순군 도곡면 천암리 167-4,35.01107844,126.9092045,061-379-3802,2019,재난대응용+침수방지용,2024-08-14,4900000,전라남도 화순군
신운지구 우수저류시설,전라남도,화순군,,전라남도 화순군 동면 백용리 38-3,35.02697917,127.0172447,061-379-3802,2020,재난대응용+침수방지용,2024-08-14,4900000,전라남도 화순군
칠정지구 우수저류시설,전라남도,화순군,,전라남도 화순군 동복면 천변리 181-1,35.06665631,127.1258595,061-379-3802,2011,재난대응용+침수방지용,2024-08-14,4900000,전라남도 화순군
장호배수장,전라남도,영광군,,전라남도 영광군 군서면 만금리 658-1,35.254719,126.462887,061-350-5283,1996,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
구수배수장,전라남도,영광군,,전라남도 영광군 백수읍 구수리 852-6,35.3429504125,126.4371843839,061-350-5283,1997,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
창포배수장,전라남도,영광군,,전라남도 영광군 영광읍 송림리 1093-1,35.3069217921,126.4692438365,061-350-5283,1997,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
장산배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 910-10,35.3103678098,126.4701279681,061-350-5283,1999,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
칠성동배수장,전라남도,영광군,,전라남도 영광군 영광읍 덕호리 1307,35.3133983296,126.4698368450,061-350-5283,1999,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
월계배수장,전라남도,영광군,,전라남도 영광군 법성면 월산리 558-1,35.3319408651,126.503131,061-350-5283,2000,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
구평배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1170-1,35.3356134164,126.5102646428,061-350-5283,2000,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
신월배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 535-4,35.3177231211,126.5033806979,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
와전배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1031-3,35.3245283460,126.496732,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
와룡1배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1094-12,35.3263179048,126.4984933124,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
진량배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 895-10,35.3298905132,126.4776018976,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
부귀동배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 924-10,35.3292280964,126.4856053583,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
와룡2배수장,전라남도,영광군,,전라남도 영광군 영광읍 와룡리 1078-1,35.3315257805,126.5047726298,061-350-5283,2002,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
상둔배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 649-1,35.3233563001,126.4555300987,061-350-5283,2002,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
월계2배수장,전라남도,영광군,,전라남도 영광군 법성면 월산리 866,35.3350113173,126.5062663755,061-350-5283,2002,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
지안일배수장,전라남도,영광군,전라남도 영광군 법성면 신장길 57,전라남도 영광군 법성면 덕흥리 285-11,35.328439,126.4743522000,061-350-5283,2000,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
장산1배수장,전라남도,영광군,,전라남도 영광군 백수읍 장산리 891-8,35.3173948098,126.4603763050,061-350-5283,2006,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
야월배수장,전라남도,영광군,,전라남도 영광군 염산면 야월리 272-50,35.236239,126.3235307558,061-350-5283,2019,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
입암배수장,전라남도,영광군,,전라남도 영광군 법성면 입암리 16-5,35.3272929823,126.4577516788,061-350-5283,2001,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
장산2배수장,전라남도,영광군,,전라남도 영광군 영광읍 덕호리 1286-1,35.3215817350,126.4587002203,061-350-5283,2006,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
두우배수장,전라남도,영광군,전라남도 영광군 염산면 칠산로9길 28,전라남도 영광군 염산면 두우리 888-97,35.2301612586,126.3005715983,061-350-5283,2015,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
평전배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 9-1,35.3175771233,126.5121075486,061-350-5283,2016,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
미동배수장,전라남도,영광군,,전라남도 영광군 염산면 옥실리 1761-15,35.1883827682,126.3701870659,061-350-5283,2016,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
양평배수장,전라남도,영광군,,전라남도 영광군 영광읍 양평리 60,35.3130783882,126.512966,061-350-5283,2016,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
덕흥배수장,전라남도,영광군,,전라남도 영광군 법성면 덕흥리 626-16,35.327711,126.4734055394,061-350-5283,2021,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
진량2배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 956-1,35.3291546768,126.477231,061-350-5283,2023,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
월계3배수장,전라남도,영광군,,전라남도 영광군 법성면 신장리 10,35.331927,126.5002928194,061-350-5283,2024,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
정관평배수장,전라남도,영광군,,전라남도 영광군 백수읍 길용리 2-36,35.3299525220,126.4444297660,061-350-5283,2024,논경지 침수피해 방지,2024-08-14,4970000,전라남도 영광군
동천1 배수펌프장,부산광역시,남구,부산광역시 남구 전포대로 91번길47,부산광역시 남구 문현동 751,35.144303,129.064241,051-607-4676,2001,침수예방,2024-08-13,3310000,부산광역시 남구
동천2 배수펌프장,부산광역시,남구,부산광역시 남구 남동천로 8-2,부산광역시 남구 문현동 810-2,35.137728,129.066667,051-607-4676,2009,침수예방,2024-08-13,3310000,부산광역시 남구
동천3 배수펌프장,부산광역시,남구,,부산광역시 남구 문현동 967-4,35.1337080707,129.0669927875,051-607-4676,2021,침수예방,2024-08-13,3310000,부산광역시 남구
송선마을 배수펌프장,부산광역시,남구,부산광역시 남구 신선로 514,부산광역시 남구 대연동 627-41,35.129162,129.105155,051-607-4676,2012,침수예방,2024-08-13,3310000,부산광역시 남구
용호 배수펌프장,부산광역시,남구,부산광역시 남구 이기대공원로 7,부산광역시 남구 용호동 36-7,35.124561,129.113486,051-607-4676,2012,침수예방,2024-08-13,3310000,부산광역시 남구
삼성시장 배수펌프장,부산광역시,남구,,부산광역시 남구 용호동 265-1,35.1235699044,129.1103525955,051-607-4676,2015,침수예방,2024-08-13,3310000,부산광역시 남구
용호중학교우수저류지,부산광역시,남구,부산광역시 남구 동명로 185-17,부산광역시 남구 용호동 512,35.1193425100,129.1169769000,051-607-4676,2014,침수예방,2024-08-13,3310000,부산광역시 남구
백세교 우수저류지,부산광역시,남구,,부산광역시 남구 용호동 869,35.113884,129.1163928844,051-607-4676,2016,침수예방,2024-08-13,3310000,부산광역시 남구
대남지하차도 배수펌프장,부산광역시,남구,부산광역시 남구 수영로 366번길,,35.138526,129.106292,051-607-4676,1996,침수예방,2024-08-13,3310000,부산광역시 남구
문현지하차도 배수펌프장,부산광역시,남구,,부산광역시 남구 문현동 682,35.1414515794,129.0671298329,051-607-4676,1980,침수예방,2024-08-13,3310000,부산광역시 남구
구암배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 외산4길 10,전북특별자치도 군산시 구암동 601-119,35.9871991198,126.741201,063-454-3875,2013,우수배제,2024-08-13,4671000,전북특별자치도 군산시
중동2배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 해망로 132-12,전북특별자치도 군산시 금암동 292-41,35.987401,126.7228840308,063-454-3875,2015,우수배제,2024-08-13,4671000,전북특별자치도 군산시
경포배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 경포천서길 61,전북특별자치도 군산시 경암동 609-117,35.9790833676,126.725801,063-454-3875,1999,우수배제,2024-08-13,4671000,전북특별자치도 군산시
내항배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 내항2길 45,전북특별자치도 군산시 장미동 1-72,35.9910339430,126.7133696291,063-454-3875,2017,우수배제,2024-08-13,4671000,전북특별자치도 군산시
소룡배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 해망로 546-8,전북특별자치도 군산시 소룡동 1524-29,35.9831273348,126.6833955471,063-454-3875,2018,우수배제,2024-08-13,4671000,전북특별자치도 군산시
중동1배수펌프장,전북특별자치도,군산시,,전북특별자치도 군산시 금암동 273-17,35.9845797120,126.7273048706,063-454-3875,2018,우수배제,2024-08-13,4671000,전북특별자치도 군산시
미장1배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 경포천로 88,전북특별자치도 군산시 미장동 484-2,35.9670874883,126.7238789826,063-454-3875,2016,우수배제,2024-08-13,4671000,전북특별자치도 군산시
미장2배수펌프장,전북특별자치도,군산시,전북특별자치도 군산시 공단대로 146,전북특별자치도 군산시 미장동 542-2,35.959901,126.7255734175,063-454-3875,2016,우수배제,2024-08-13,4671000,전북특별자치도 군산시
갈산배수펌프장,경기도,이천시,경기도 이천시 황무로 1081-200 (갈산동),경기도 이천시 갈산동 7-7,37.2920568571,127.4749162818,,2004,농경침수방지용,2024-08-05,4070000,경기도 이천시
구시배수펌프장,경기도,이천시,경기도 이천시 대월면 대장로 616-7 (구시리),경기도 이천시 대월면 구시리 26-2,37.2159360247,127.5134268782,,2012,농경침수방지용,2024-08-05,4070000,경기도 이천시
노탑배수펌프장,경기도,이천시,경기도 이천시 장호원읍 장여로37번길 4 (노탑리),경기도 이천시 장호원읍 노탑리 834,37.1210282843,127.6309374466,,1998,도시침수방지용,2024-08-05,4070000,경기도 이천시
오남배수펌프장,경기도,이천시,경기도 이천시 장호원읍 장터로 80 (장호원리),경기도 이천시 장호원읍 장호원리 80-5,37.1155161458,127.6338203161,,1996,도시침수방지용,2024-08-05,4070000,경기도 이천시
제요배수펌프장,경기도,이천시,경기도 이천시 설성면 진상미로 117-300 (제요리),경기도 이천시 설성면 제요리 640-4,37.1013650944,127.5567413382,,2001,농경침수방지용,2024-08-05,4070000,경기도 이천시
주미배수펌프장,경기도,이천시,경기도 이천시 호법면 이섭대천로572번길 180-39 (주미리),경기도 이천시 호법면 주미리 100-4,37.2289713042,127.4410107886,,2005,농경침수방지용,2024-08-05,4070000,경기도 이천시
단월배수펌프장,경기도,이천시,경기도 이천시 진상미로 2083-372(단월동),경기도 이천시 단월동 224,37.2326969491,127.4456975556,,2019,농경침수방지용,2024-08-05,4070000,경기도 이천시
포평배수장,충청남도,금산군,,충청남도 금산군 제원면 저곡리 378-2,36.1165534186,127.5601557959,,2023,저곡리 농경지 침수예방을 위한 배수펌프장,2024-08-13,4550000,충청남도 금산군
전민동 청버들 배수펌프장,대전광역시,유성구,,대전광역시 유성구 전민동 108-2,36.4090346629,127.413945,042-611-2329,2017,침수방지,2024-08-13,3670000,대전광역시 유성구
신림빗물펌프장,서울특별시,관악구,서울특별시 관악구 신사로 46,,37.4847706,126.9082702652,,,침수방지,2024-08-08,3200000,서울특별시 관악구
신림2빗물펌프장,서울특별시,관악구,서울특별시 관악구 신사로 139,,37.48936355,126.9173004735,,,침수방지,2024-08-08,3200000,서울특별시 관악구
신림5빗물펌프장,서울특별시,관악구,서울특별시 관악구 관천로 126,,37.4894970511,126.9196830177,,,침수방지,2024-08-08,3200000,서울특별시 관악구
내동빗물펌프장,경기도,부천시,,경기도 부천시 오정구 내동 378-1,37.52378228,126.7774535,,2005,침수방지,2024-08-01,3860000,경기도 부천시
베르네천 우수저류시설,경기도,부천시,경기도 부천시 오정구 성오로 1,경기도 부천시 오정구 여월동 321,37.51430878,126.8045264,,2015,침수방지,2024-08-01,3860000,경기도 부천시
삼정빗물펌프장,경기도,부천시,,경기도 부천시 오정구 삼정동 88-27,37.52325349,126.7693057,,2007,침수방지,2024-08-01,3860000,경기도 부천시
소사우수조정지,경기도,부천시,경기도 부천시 소사구 소삼로36번길 16,경기도 부천시 소사구 소사본동 138-4,37.47765816,126.7967783,,2002,침수방지,2024-08-01,3860000,경기도 부천시
오정빗물펌프장,경기도,부천시,,경기도 부천시 오정구 오정동 782,37.52902295,126.7964999961,,2016,침수방지,2024-08-01,3860000,경기도 부천시
영주지구 우수펌프장,경상북도,영주시,,경상북도 영주시 영주동 470-319,36.81968285,128.6210102,,,호우로 인한 빗물 배수 목적,2024-08-09,5090000,경상북도 영주시
하망지구 우수펌프장,경상북도,영주시,,경상북도 영주시 하망동 324-2,36.82548976,128.6264816,,,호우로 인한 빗물 배수 목적,2024-08-09,5090000,경상북도 영주시
대봉교 지하차도 배수펌프장,대구광역시,남구,,대구광역시 남구 이천동 121-374,35.8537046628,128.6071361,053-664-2882,1993,침수방지,2024-08-09,3440000,대구광역시 남구
희망교 지하차도 배수펌프장,대구광역시,남구,,대구광역시 남구 이천동 655-144,35.8499131234,128.6074215674,053-664-2882,1993,침수방지,2024-08-09,3440000,대구광역시 남구
중동교 지하차도 배수펌프장,대구광역시,남구,,대구광역시 남구 봉덕동 883-27,35.84079716,128.6061321282,053-664-2882,1993,침수방지,2024-08-09,3440000,대구광역시 남구
하신,부산광역시,강서구,부산광역시 강서구 명지오션시티13로 5,부산광역시 강서구 명지동 3300-1,35.0897000600,128.8968234,,,침수방지,2024-08-09,3360000,부산광역시 강서구
명지,부산광역시,강서구,부산광역시 강서구 명지오션시티1로 328,부산광역시 강서구 명지동 3308-2,35.0876432,128.9127939000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
방근,부산광역시,강서구,부산광역시 강서구 녹산산업북로221번길 17,부산광역시 강서구 송정동 1692,35.0995121,128.8486163,,,침수방지,2024-08-09,3360000,부산광역시 강서구
송정,부산광역시,강서구,부산광역시 강서구 가락대로 227,부산광역시 강서구 송정동 1437-45,35.1044959200,128.8397610000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
신포,부산광역시,강서구,부산광역시 강서구 영강길 20,부산광역시 강서구 명지동 1451-2,35.1076801,128.929457,,,침수방지,2024-08-09,3360000,부산광역시 강서구
대저,부산광역시,강서구,부산광역시 강서구 경전철로 109,부산광역시 강서구 대저2동 1368,35.1891507,128.9592742,,,침수방지,2024-08-09,3360000,부산광역시 강서구
맥도,부산광역시,강서구,부산광역시 강서구 공항로533번길 1,부산광역시 강서구 대저2동 3250,35.1545308,128.9543561,,,침수방지,2024-08-09,3360000,부산광역시 강서구
녹산,부산광역시,강서구,부산광역시 강서구 낙동남로 791,부산광역시 강서구 녹산동 1273-142,35.1202978,128.8999131,,,침수방지,2024-08-09,3360000,부산광역시 강서구
본녹산,부산광역시,강서구,부산광역시 강서구 화전산업대로 232,부산광역시 강서구 녹산동 193-7,35.1096948,128.8892546,,,침수방지,2024-08-09,3360000,부산광역시 강서구
식만,부산광역시,강서구,부산광역시 강서구 식만로 131,부산광역시 강서구 식만동 770-6,35.2061666,128.9070442,,,침수방지,2024-08-09,3360000,부산광역시 강서구
동방,부산광역시,강서구,부산광역시 강서구 유통단지1로 7,부산광역시 강서구 대저2동 3153-4,35.1681951,128.9590276,,,침수방지,2024-08-09,3360000,부산광역시 강서구
성산,부산광역시,강서구,부산광역시 강서구 생곡로 56-1,부산광역시 강서구 녹산동 5-207,35.1252765200,128.8991236,,,침수방지,2024-08-09,3360000,부산광역시 강서구
중덕,부산광역시,강서구,부산광역시 강서구 제도로1041번길 206,부산광역시 강서구 강동동 856-5,35.2082617,128.9196538,,,침수방지,2024-08-09,3360000,부산광역시 강서구
상덕,부산광역시,강서구,부산광역시 강서구 상덕로49번길 45-38,부산광역시 강서구 강동동 2066-2,35.1943929900,128.9061150000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
사덕상리,부산광역시,강서구,부산광역시 강서구 대저로274번길 28,부산광역시 강서구 대저1동 2300-4,35.2114803,128.9815251141,,,침수방지,2024-08-09,3360000,부산광역시 강서구
작지,부산광역시,강서구,부산광역시 강서구 공항로393번길 4,부산광역시 강서구 대저2동 5124-2,35.1436126000,128.9499484000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
성산마을,부산광역시,강서구,부산광역시 강서구 낙동남로682번가길 31,부산광역시 강서구 녹산동 53-1,35.1205645900,128.8937174,,,침수방지,2024-08-09,3360000,부산광역시 강서구
범방,부산광역시,강서구,부산광역시 강서구 범방4로 94,부산광역시 강서구 범방동 1890,35.1510128,128.8859512,,,침수방지,2024-08-09,3360000,부산광역시 강서구
명지동진,부산광역시,강서구,부산광역시 강서구 명지국제11로 85,부산광역시 강서구 명지동 3525-1,35.1042217,128.9279024000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
사덕,부산광역시,강서구,부산광역시 강서구 공항로 1246,,35.2098508,128.9845591,,,침수방지,2024-08-09,3360000,부산광역시 강서구
신덕,부산광역시,강서구,부산광역시 강서구 체육공원로6번길 28,부산광역시 강서구 대저1동 2785-1,35.2047869951,128.9753728,,,침수방지,2024-08-09,3360000,부산광역시 강서구
덕두,부산광역시,강서구,부산광역시 강서구 공항로811번가길 34,부산광역시 강서구 대저2동 2009-1,35.1782098,128.9565564000,,,침수방지,2024-08-09,3360000,부산광역시 강서구
서창배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로 101-9,충청남도 논산시 강경읍 황산리198-3,36.16214786,127.0120347,041-746-6447,1992,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
동흥배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 금백로175번길 35,충청남도 논산시 강경읍 동흥리128-8,36.16638705,127.0146269,041-746-6447,1997,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
지산배수펌프장,충청남도,논산시,충청남도 논산시 지산길 48,충청남도 논산시 지산동828,36.20825756,127.1149246,041-746-6449,1997,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
낭청배수펌프장,충청남도,논산시,충청남도 논산시 강경읍 계백로 7,충청남도 논산시 강경읍 채산리516-15,36.14790639,127.0063792,041-746-6450,1999,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
등화배수펌프장,충청남도,논산시,충청남도 논산시 강변로 309-97,충청남도 논산시 부창동567,36.19984546,127.0704181,041-746-6446,2001,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
방축배수펌프장,충청남도,논산시,충청남도 논산시 채운면 계백로499번길 96-66,충청남도 논산시 채운면 화산리 190-5,36.1827244,127.0540151,041-746-6446,2017,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
대교배수펌프장,충청남도,논산시,충청남도 논산시 강변로 474-10,충청남도 논산시 대교동210,36.21272904,127.0921975,041-746-6449,2018,우천시 펌프장 부근 하천 방류,2024-08-09,4540000,충청남도 논산시
유등배수펌프장,경상북도,청도군,,경상북도 청도군 화양읍 유등리 1713-1,35.6720321,128.6959178236,054-370-2325,2007,침수방지,2024-08-09,5190000,경상북도 청도군
춘천배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번가길32(우동),부산광역시 해운대구 우동 649-6,35.1591168,129.1573505,051-749-4871,1995,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대로 1100(송정동) 부근,부산광역시 해운대구 송정동 138-3 부근,35.18395078,129.2011864,051-749-4871,2012,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정게이트1 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 송정강변로 51(송정동) 부근,부산광역시 해운대구 송정동 183-17번지 부근,35.18605628,129.2048672,051-749-4871,2013,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
송정게이트2 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 송정중앙로15번길 120-3 부근,부산광역시 해운대구 송정동 174-15 부근,35.1878893,129.2061014,051-749-4871,2013,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
우동맨홀 배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 197번가길 20-6(우동),부산광역시 해운대구 우동870-2,35.15980135,129.152904,051-749-4871,2013,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
우2동 배수펌프장,부산광역시,해운대구,,부산광역시 해운대구 우동 1185-206번지,35.16954977,129.1390876,051-749-4871,1997,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
재송1배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 353(재송동),부산광역시 해운대구 재송동 1276,35.190134,129.1157834,051-749-4871,1992,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
반여1배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 606,부산광역시 해운대구 반여동 1502-67,35.2114392,129.1218042,051-749-4871,2002,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
반여2배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 527(반여동),부산광역시 해운대구 반여동 1502-16번지,35.20492279,129.1196129,051-749-4871,2003,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
재송2배수펌프장,부산광역시,해운대구,부산광역시 해운대구 해운대로 89번가길 13(재송동) 부근,부산광역시 해운대구 재송동 188 부근,35.18944656,129.121561,051-749-4871,2004,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
용천맨홀배수펌프장,부산광역시,해운대구,부산광역시 해운대구 수영강변대로 382(센텀피오레APT 앞),부산광역시 해운대구 재송동 1302번지 앞,35.19271178,129.1150835,051-749-4871,2020,태풍 및 기습호우 발생 시 침수 피해 방지,2024-08-09,3330000,부산광역시 해운대구
장위빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로 724,서울특별시 성북구 장위동 270-1,37.61881724,127.0558739,02-2241-6376,2004,침수방지,2024-08-08,3070000,서울특별시 성북구
석관빗물펌프장,서울특별시,성북구,서울특별시 성북구 한천로66길 203,서울특별시 성북구 석관동 134-2,37.61347394,127.0654917,02-2241-6371,2002,침수방지,2024-08-08,3070000,서울특별시 성북구
5일시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 264-1,35.0635111800,126.5240035000,061-320-1992,2021,침수방지,2024-08-09,4960000,전라남도 함평군
우시장펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 196-6,35.0620073300,126.5266488000,061-320-1992,1992,침수방지,2024-08-09,4960000,전라남도 함평군
나산펌프장,전라남도,함평군,,전라남도 함평군 나산면 삼축리 1213-14,35.1085788958,126.6083709770,061-320-1992,2021,침수방지,2024-08-09,4960000,전라남도 함평군
원고막펌프장,전라남도,함평군,,전라남도 함평군 학교면 고막리 108-1,35.0333902440,126.5923864723,061-320-1992,1985,침수방지,2024-08-09,4960000,전라남도 함평군
쌍교펌프장,전라남도,함평군,,전라남도 함평군 학교면 학교리 445-10,35.0185912404,126.5366577867,061-320-1992,1999,침수방지,2024-08-09,4960000,전라남도 함평군
신촌펌프장,전라남도,함평군,,전라남도 함평군 함평읍 기각리 189-7,35.0605982367,126.5273121793,061-320-1992,2011,침수방지,2024-08-09,4960000,전라남도 함평군
용산배수펌프장,전북특별자치도,남원시,,전북특별자치도 남원시 덕과면 용산리 1063-6,35.5503702583,127.3442496599,,2020,재해예방,2024-08-08,4701000,전북특별자치도 남원시
세전배수펌프장,전북특별자치도,남원시,전북특별자치도 남원시 송동면 노송로 150-151,전북특별자치도 남원시 송동면 세전리 1401-28,35.3108890117,127.3223165669,,,재해예방,2024-08-08,4701000,전북특별자치도 남원시
토계배수펌프장,충청북도,충주시,,충청북도 충주시 살미면 토계리 447,36.8983260061,127.9197934438,,2022,재난대응용,2024-07-31,4390000,충청북도 충주시
봉방 배수펌프장,충청북도,충주시,,충청북도 충주시 봉방동 546-3,36.98123293,127.8971978598,,1992,침수방지,2024-07-31,4390000,충청북도 충주시
용두 배수펌프장,충청북도,충주시,,충청북도 충주시 용두동 461-16,36.97162793,127.8891750185,,1992,침수방지,2024-07-31,4390000,충청북도 충주시
창동 배수펌프장,충청북도,충주시,,충청북도 충주시 중앙탑면 창동리 196,36.9858688716,127.8860862,,2000,침수방지,2024-07-31,4390000,충청북도 충주시
목계 배수펌프장,충청북도,충주시,,충청북도 충주시 엄정면 목계리 247,37.07695324,127.8860756,,2002,침수방지,2024-07-31,4390000,충청북도 충주시
칠금 간이배수펌프장,충청북도,충주시,,충청북도 충주시 칠금동 459-57,36.9877203016,127.8921634441,,1992,침수방지,2024-07-31,4390000,충청북도 충주시
만정 배수펌프장,충청북도,충주시,,충청북도 충주시 대소원면 검단리 73-2,36.96485699,127.8762794,,2010,침수방지,2024-07-31,4390000,충청북도 충주시
청천 배수장,경상남도,김해시,,경상남도 김해시 진영읍 전리 144-9,35.29844174,128.7392014,055-330-0878,2003,수리시설(양배수) 유지관리,2024-08-08,5350000,경상남도 김해시
효동 배수장,경상남도,김해시,,경상남도 김해시 진영읍 설창리 289-5,35.30287521,128.7739442,055-330-0878,1984,수리시설(양배수) 유지관리,2024-08-08,5350000,경상남도 김해시
본산 양배수장,경상남도,김해시,,경상남도 김해시 한림면 가산리 303-2,35.3291546728,128.7507599535,055-330-0878,1993,수리시설(양배수) 유지관리,2024-08-08,5350000,경상남도 김해시
